,precipitation3,precipitation2,precipitation1,precipitation0,time71,time70,time69,time68,time67,time66,time65,time64,time63,time62,time61,time60,time59,time58,time57,time56,time55,time54,time53,time52,time51,time50,time49,time48,time47,time46,time45,time44,time43,time42,time41,time40,time39,time38,time37,time36,time35,time34,time33,time32,time31,time30,time29,time28,time27,time26,time25,time24,time23,time22,time21,time20,time19,time18,time17,time16,time15,time14,time13,time12,time11,time10,time9,time8,time7,time6,time5,time4,time3,time2,time1,time0,weekday7,weekday6,weekday5,weekday4,weekday3,weekday2,weekday1,weekday0,month2,month1,month0,tollgate_id3,tollgate_id2,tollgate_id1,tollgate_id0,date,direction,has_etc1,holiday_ornot,hour,humidity,model0,model1,model2,model3,model4,model5,model6,model7,month,precipitation,temperature,time,time_start,time_window,tollgate_id,type0,type1,volume,weekday,wind_speed,time_hour,minute
0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,1,0.0,1.0,1.0,23.0,95.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,10.0,0.0,23.7,71,2016-10-01 23:40:00,"[2016-10-02 00:00:00,2016-10-02 00:20:00)",1.0,1.0,1.0,0.0,5.0,2.0,23,40
1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,2,0.0,1.0,1.0,23.0,90.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,10.0,0.0,22.6,69,2016-10-02 23:00:00,"[2016-10-02 23:20:00,2016-10-02 23:40:00)",1.0,1.0,1.0,0.0,6.0,2.0,23,0
2,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,8,0.0,1.0,0.0,23.0,64.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,10.0,0.0,16.5,71,2016-10-08 23:40:00,"[2016-10-09 00:00:00,2016-10-09 00:20:00)",1.0,1.0,1.0,0.0,3.0,2.0,23,40
3,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,9,0.0,1.0,0.0,23.0,80.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,10.0,0.0,14.1,69,2016-10-09 23:00:00,"[2016-10-09 23:20:00,2016-10-09 23:40:00)",1.0,1.0,1.0,0.0,4.0,2.0,23,0
4,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,1,1.0,1.0,0.0,1.0,93.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,10.0,0.0,22.3,3,2016-10-01 01:00:00,"[2016-10-01 01:20:00,2016-10-01 01:40:00)",1.0,1.0,1.0,0.0,5.0,0.0,1,0
5,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,1,1.0,1.0,0.0,1.0,93.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,10.0,0.0,22.3,5,2016-10-01 01:40:00,"[2016-10-01 02:00:00,2016-10-01 02:20:00)",1.0,1.0,1.0,0.0,5.0,0.0,1,40
6,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,2,1.0,1.0,0.0,22.0,90.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,10.0,0.0,22.6,66,2016-10-02 22:00:00,"[2016-10-02 22:20:00,2016-10-02 22:40:00)",1.0,1.0,1.0,0.0,6.0,2.0,22,0
7,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,7,1.0,1.0,0.0,1.0,83.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,10.0,0.0,20.3,3,2016-10-07 01:00:00,"[2016-10-07 01:20:00,2016-10-07 01:40:00)",1.0,1.0,1.0,0.0,4.0,2.0,1,0
8,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,19,0.0,1.0,0.0,0.0,76.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,9.0,0.0,22.2,1,2016-09-19 00:20:00,"[2016-09-19 01:00:00,2016-09-19 01:20:00)",2.0,1.0,1.0,0.0,0.0,2.0,0,20
9,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,19,0.0,1.0,0.0,0.0,76.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,9.0,0.0,22.2,2,2016-09-19 00:40:00,"[2016-09-19 01:00:00,2016-09-19 01:20:00)",2.0,1.0,1.0,0.0,0.0,2.0,0,40
